smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,rtb,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,pChEMBL Value
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2nnn[nH]2)cc1,2.88,5.0,2.01,3.61,4.31,540.98,9.0,12.0,3.0,3.0,39.0,-1.0,540.98,540.1537,2.0,1.0,156.26,0.24,9.0,540.98,16.37,0.31,5.97,5.67,8.85
C[C@@H](O)[C@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,-1.1,2.0,-3.69,-3.65,4.03,576.63,8.0,14.0,8.0,10.0,40.0,0.5,576.63,576.2002,3.0,2.0,254.86,0.09,15.0,576.63,11.42,0.22,7.69,2.58,6.59
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C(C)C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.15,4.0,4.6,4.6,12.2,618.1,9.0,13.0,4.0,4.0,44.0,0.0,618.1,617.2266,3.0,2.0,168.81,0.22,6.0,618.1,15.94,0.31,4.7,5.84,9.85
NC(=O)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,2.79,4.0,3.18,3.18,12.39,515.96,7.0,10.0,3.0,4.0,37.0,0.0,515.96,515.1473,1.0,1.0,144.89,0.29,9.0,515.96,15.03,0.29,4.97,5.35,7.76
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2ncc[nH]2)cc1,4.09,5.0,4.21,4.24,12.3,539.0,7.0,10.0,3.0,3.0,39.0,0.0,539.0,538.1632,1.0,1.0,130.48,0.24,9.0,539.0,15.32,0.29,4.17,6.33,8.26
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)Nc1ccc(C(=O)O)cc1,5.06,5.0,2.57,5.64,4.16,593.04,7.0,10.0,3.0,3.0,43.0,-1.0,593.04,592.1626,2.0,2.0,139.1,0.19,10.0,593.04,13.39,0.25,2.88,5.71,7.94
CCS(=O)(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,2.11,3.0,1.73,1.73,13.68,535.05,7.0,9.0,2.0,2.0,35.0,0.0,535.05,534.0798,1.0,1.0,117.58,0.48,7.0,535.05,9.67,0.2,3.07,4.4,5.17
CC(=O)N1C[C@H](NC(=O)c2ccc(-n3ccccc3=O)cc2)[C@H](NC(=O)c2ccc(Cl)s2)C1,2.31,3.0,1.73,1.73,13.68,484.97,6.0,8.0,2.0,2.0,33.0,0.0,484.97,484.0972,0.0,0.0,100.51,0.58,5.0,484.97,10.29,0.21,2.68,4.97,4.99
CNC(=O)c1ccc(-c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)C3C(=O)NCC(=O)OC)cc1,2.91,4.0,2.78,2.78,11.76,632.05,9.0,12.0,2.0,2.0,45.0,0.0,632.05,631.1746,2.0,1.0,148.41,0.22,8.0,632.05,10.23,0.2,3.56,4.36,6.47
CNC(=O)c1ccc(-c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)C3C(=O)NCc2nccn2C)cc1,3.67,5.0,3.05,3.06,12.26,654.11,9.0,12.0,2.0,2.0,47.0,0.0,654.11,653.2066,2.0,1.0,139.93,0.24,8.0,654.11,9.59,0.18,2.6,4.48,6.27
COC1CCN(c2cccc3c2CCN(C(=O)C2CC4(CCNCC4)C2)C3C(=O)Nc2ccc(C(=O)O)cc2)CC1,3.84,2.0,0.23,0.23,3.9,560.7,6.0,9.0,3.0,3.0,41.0,0.5,560.7,560.2999,1.0,1.0,111.21,0.49,6.0,560.7,11.99,0.22,2.88,6.04,6.72
C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,6.16,5.0,5.16,5.16,11.94,660.01,10.0,11.0,1.0,1.0,46.0,0.0,660.01,659.1583,3.0,2.0,125.41,0.23,4.0,660.01,15.15,0.3,3.84,7.97,10.0
C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2ccnc(c2)-c2c(cnn2C)NC1=O,5.31,5.0,4.38,4.38,11.77,624.03,10.0,11.0,1.0,1.0,44.0,0.0,624.03,623.1772,3.0,2.0,125.41,0.29,3.0,624.03,16.02,0.31,4.69,7.97,10.0
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc(N)c(C(=O)O)c3)ccn2)CC1,4.19,3.0,1.8,1.8,4.86,472.59,5.0,7.0,4.0,6.0,35.0,0.5,472.59,472.2474,1.0,0.0,131.33,0.36,8.0,472.59,17.51,0.32,4.09,6.3,8.28
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4[nH]nc(O)c4c3)ccn2)CC1,4.5,4.0,3.7,3.7,5.93,469.59,5.0,7.0,4.0,5.0,35.0,0.5,469.59,469.2478,0.0,0.0,116.92,0.32,7.0,469.59,17.3,0.32,3.62,6.95,8.12
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2cc(-c3ccc4c(N)noc4c3)ccn2)CC1,4.64,4.0,1.12,3.74,13.15,469.59,6.0,7.0,3.0,5.0,35.0,1.0,469.59,469.2478,0.0,0.0,120.06,0.36,7.0,469.59,17.93,0.33,3.78,7.01,8.42
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4c(N)noc4c3)ccn2)CC1,4.64,4.0,1.12,3.74,13.15,469.59,6.0,7.0,3.0,5.0,35.0,1.0,469.59,469.2478,0.0,0.0,120.06,0.36,7.0,469.59,17.11,0.31,3.4,6.69,8.04
O=C(Nc1ccc2cn[nH]c2c1)[C@@H]1c2ccccc2CCN1C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1,3.97,5.0,3.63,3.63,11.9,524.97,7.0,10.0,2.0,2.0,38.0,0.0,524.97,524.1476,1.0,1.0,121.69,0.34,5.0,524.97,13.8,0.26,3.27,5.95,7.24
COC(=O)Nc1ccc(NC(=O)[C@@H]2c3ccccc3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,4.41,4.0,4.31,4.31,12.85,575.99,8.0,11.0,2.0,2.0,41.0,0.0,575.99,575.1484,2.0,1.0,131.34,0.33,6.0,575.99,12.08,0.23,2.55,5.3,6.96
CN(C)c1cccc2c1CCN(C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)C2C(=O)Nc1ccc(C(=O)O)cc1,3.86,4.0,1.01,3.45,3.86,572.03,8.0,11.0,2.0,2.0,41.0,-1.0,572.03,571.1735,2.0,1.0,133.55,0.32,7.0,572.03,14.37,0.27,4.36,6.16,8.22
O=C(O)c1ccc(NC(=O)[C@@H]2c3cccc(N4CCOCC4=O)c3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,3.29,4.0,-0.2,2.86,4.16,646.04,9.0,13.0,2.0,2.0,46.0,-1.0,646.04,645.1539,2.0,1.0,159.85,0.29,7.0,646.04,13.47,0.26,5.41,5.44,8.7
