smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,rtb,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,pChEMBL Value
COC(=O)Nc1ccc(S(=O)(=O)C(C)C)c([C@H]2CCCN2C(=O)[C@H](Nc2ccc3c(N)nccc3c2)c2ccc(F)c(OC)c2)c1,5.84,4.0,2.67,3.99,12.47,649.75,9.0,11.0,3.0,4.0,46.0,1.0,649.75,649.237,3.0,2.0,152.95,0.2,9.0,649.75,7.63,0.15,-0.88,3.24,4.96
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2ccccc2S(=O)(=O)CC)ccc1OC(C)C,5.27,4.0,2.39,3.7,13.11,576.72,8.0,9.0,3.0,4.0,41.0,1.0,576.72,576.2406,2.0,2.0,132.64,0.21,12.0,576.72,8.6,0.17,-0.31,3.74,4.96
CCOc1cc(C(Nc2ccc3c(N)nccc3c2)C(=O)NCc2cccc(O)c2)ccc1OC(C)C,5.18,4.0,2.73,3.54,9.61,500.6,7.0,8.0,4.0,5.0,37.0,1.0,500.6,500.2424,2.0,2.0,118.73,0.24,10.0,500.6,9.91,0.18,-0.22,4.18,4.96
Nc1n[nH]c2cc(NC(=O)[C@@H]3c4ccccc4CCN3C(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)ccc12,3.55,5.0,3.4,3.4,12.79,539.99,8.0,11.0,3.0,4.0,39.0,0.0,539.99,539.1585,2.0,1.0,147.71,0.29,5.0,539.99,13.11,0.25,3.53,4.79,7.08
CCOC(=O)CCNC(=O)Nc1cccc2c1CCN(C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)C2C(=O)Nc1ccc(C(=O)O)cc1,3.87,4.0,0.25,3.31,4.16,687.11,10.0,15.0,4.0,4.0,49.0,-1.0,687.11,686.2004,2.0,1.0,197.74,0.13,11.0,687.11,11.06,0.21,3.73,3.84,7.6
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(-c2nc[nH]n2)cc1,3.48,5.0,4.4,4.4,10.69,539.99,8.0,11.0,3.0,3.0,39.0,0.0,539.99,539.1585,2.0,1.0,143.37,0.24,9.0,539.99,14.54,0.28,4.37,5.48,7.85
O=C(/C=C/c1c(-n2cnnn2)ccc(Cl)c1F)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(C(=O)O)cc1,3.53,4.0,1.07,4.13,4.16,534.94,7.0,10.0,3.0,3.0,38.0,-1.0,534.94,534.1219,1.0,1.0,139.1,0.28,9.0,534.94,16.39,0.32,5.24,6.3,8.77
CC1CC1C(=O)Nc1ccc(C[C@H](NC(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)C(=O)Nc2ccc(C(=O)O)cc2)cc1,4.13,4.0,1.37,4.44,4.16,632.05,8.0,12.0,4.0,4.0,45.0,-1.0,632.05,631.1746,2.0,1.0,168.2,0.18,11.0,632.05,14.94,0.29,5.31,5.61,9.44
COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](n1ccc(-c3c(F)ccc(Cl)c3F)cc1=O)c1cc-2ccn1,6.79,4.0,5.3,5.3,12.77,579.0,6.0,8.0,2.0,2.0,41.0,0.0,579.0,578.1532,2.0,2.0,102.32,0.26,3.0,579.0,15.56,0.3,2.22,8.8,9.01
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cccc(-c3ccccc3)n2)CC1,4.91,3.0,2.36,4.97,13.55,413.57,3.0,4.0,2.0,3.0,31.0,1.0,413.57,413.2467,0.0,0.0,68.01,0.58,7.0,413.57,10.93,0.2,-0.39,6.65,4.52
O=C(O)c1ccc(NC(=O)C2c3cccc(C(=O)N4CCCCC4)c3CCN2C(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,4.42,4.0,1.05,4.11,4.16,640.1,8.0,12.0,2.0,2.0,46.0,-1.0,640.1,639.1997,2.0,1.0,150.62,0.28,7.0,640.1,12.14,0.23,3.35,5.16,7.77
CC(=O)Nc1cccc2c1CCN(C(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)C2C(=O)Nc1ccc(C(=O)O)cc1,3.75,4.0,0.14,3.2,4.16,586.01,8.0,12.0,3.0,3.0,42.0,-1.0,586.01,585.1527,2.0,1.0,159.41,0.28,7.0,586.01,13.1,0.25,3.93,4.82,7.68
O=C(O)c1ccc(NC(=O)[C@@H]2c3cccc(N4CCCCC4=O)c3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,4.45,4.0,0.82,3.88,4.16,644.06,8.0,12.0,2.0,2.0,46.0,-1.0,644.06,643.1746,2.0,1.0,150.62,0.28,7.0,644.06,13.75,0.26,4.4,5.88,8.85
O=C(O)c1ccc(NC(=O)[C@@H]2c3cccc(N4CCNCC4=O)c3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,2.87,4.0,-0.35,0.28,4.16,645.05,9.0,13.0,3.0,3.0,46.0,-1.0,645.05,644.1699,2.0,1.0,162.65,0.26,7.0,645.05,13.73,0.26,5.98,5.44,8.85
O=C(O)c1ccc(NC(=O)[C@@H]2c3ccccc3CCN2C(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,3.79,4.0,0.9,3.96,4.16,528.96,7.0,10.0,2.0,2.0,38.0,-1.0,528.96,528.1313,1.0,1.0,130.31,0.36,6.0,528.96,15.05,0.29,4.17,6.11,7.96
N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(cc3)NC(=O)CN3CCN(CC3)CC(=O)Nc3ccc(cc3)C[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1.O=C(O)C(F)(F)F,1.55,4.0,-0.48,1.04,9.1,907.97,9.0,15.0,7.0,8.0,57.0,1.0,793.95,793.337,3.0,2.0,218.92,0.1,8.0,907.97,6.71,0.13,3.78,2.43,5.33
CC[C@H](C)[C@H](NS(=O)(=O)Cc1cccc(C(=O)O)c1)C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccc(C(=N)N)cc1,0.57,2.0,-1.68,-1.68,4.03,588.69,7.0,13.0,7.0,9.0,41.0,0.5,588.69,588.2366,3.0,2.0,234.63,0.11,16.0,588.69,12.71,0.25,6.91,3.19,7.48
COC(=O)Nc1ccc2c(c1)CNC(=O)c1ccc(cc1)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,4.89,5.0,4.13,4.13,10.14,658.51,9.0,13.0,4.0,4.0,46.0,0.0,658.51,657.1407,2.0,1.0,168.81,0.19,5.0,658.51,7.73,0.15,0.2,3.02,5.09
N#Cc1cccc(-c2c[nH]c([C@H](Cc3ccccc3)NC(=O)[C@H]3CC[C@H](CN)CC3)n2)c1.O=C(O)C(F)(F)F,4.11,3.0,1.31,3.92,12.49,541.57,4.0,6.0,3.0,4.0,32.0,1.0,427.55,427.2372,0.0,0.0,107.59,0.53,7.0,541.57,13.92,0.25,1.84,5.53,5.95
NCc1ccc(C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4c(N)n[nH]c4c3)c(Cl)[nH]2)c(F)c1,4.5,5.0,2.05,3.42,10.17,503.97,5.0,8.0,5.0,7.0,36.0,1.0,503.97,503.1637,2.0,1.0,138.5,0.22,7.0,503.97,17.83,0.34,4.49,6.49,8.99
Nc1n[nH]c2cc(-c3nc([C@H](Cc4ccccc4)NC(=O)NCc4c(F)ccc(Cl)c4F)[nH]c3Cl)ccc12,5.9,5.0,5.04,5.04,10.14,556.4,4.0,8.0,5.0,6.0,38.0,0.0,556.4,555.1153,3.0,2.0,124.51,0.16,7.0,556.4,13.73,0.27,1.74,6.13,7.64
COc1ccc(Cl)cc1CNC(=O)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3c(N)n[nH]c3c2)c(Cl)[nH]1,5.63,5.0,4.6,4.6,10.14,550.45,5.0,9.0,5.0,6.0,38.0,0.0,550.45,549.1447,3.0,2.0,133.74,0.17,8.0,550.45,12.94,0.26,1.49,5.33,7.12
O=C(N[C@@H](Cc1ccccc1)C(=O)NCc1cc(=O)[nH]c2ccc(Cl)cc12)c1ccc2[nH]c(=O)cc(O)c2c1,3.39,5.0,2.03,2.78,6.74,542.98,5.0,9.0,5.0,5.0,39.0,0.0,542.98,542.1357,1.0,1.0,144.15,0.21,7.0,542.98,17.13,0.33,5.91,6.45,9.3
N=C(N)c1ccc(CC(=O)[C@H](Cc2cccc(CN)c2)NC(=O)[C@@H](CCCc2ccccc2)NS(=O)(=O)Cc2cccc(C(=O)O)c2)cc1,3.48,4.0,0.83,2.03,4.03,683.83,7.0,11.0,6.0,8.0,49.0,0.5,683.83,683.2778,3.0,2.0,205.53,0.07,18.0,683.83,11.33,0.22,4.26,3.77,7.75
COC(=O)Nc1ccc2c(c1)NC(=O)[C@@H](C(C)C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.15,4.0,4.6,4.6,12.2,618.1,9.0,13.0,4.0,4.0,44.0,0.0,618.1,617.2266,3.0,2.0,168.81,0.22,6.0,618.1,12.42,0.24,2.53,4.55,7.68
CCC(=O)CN1CCCC[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2nc(c[nH]2)-c2ccc(NC(=O)OC)cc2C1,4.72,4.0,4.2,4.28,12.47,632.13,10.0,13.0,3.0,3.0,45.0,0.0,632.13,631.2422,2.0,1.0,160.02,0.23,8.0,632.13,9.7,0.19,1.41,3.83,6.13
CC(C)(C)NC(=O)c1ccc(-c2cccc([C@@H]3C[C@](C)(c4ccccc4)c4cc(C(=N)N)ccc4N3)c2)c(C(=O)O)c1,6.73,4.0,4.14,4.14,3.5,560.7,4.0,7.0,5.0,6.0,42.0,0.5,560.7,560.2787,3.0,2.0,128.3,0.13,6.0,560.7,11.18,0.2,-0.46,4.89,6.27
N=C(N)c1ccc2c(c1)[C@@H](c1ccccc1)C[C@@H](c1ccccc1-c1ccc(C(=O)O)cc1C(=O)O)N2,5.72,4.0,0.34,3.12,3.32,491.55,4.0,7.0,5.0,6.0,37.0,0.5,491.55,491.1845,2.0,1.0,136.5,0.17,6.0,491.55,16.42,0.3,2.35,5.91,8.07
CCOC(=O)c1ccc(NC(=O)C2c3cccc(-c4ccc(C(=O)NC)nc4)c3CCN2C(=O)/C=C/c2c(-n3cnnn3)ccc(Cl)c2F)cc1,4.83,5.0,4.7,4.7,12.5,709.14,10.0,13.0,2.0,2.0,51.0,0.0,709.14,708.2012,2.0,1.0,161.3,0.16,9.0,709.14,7.63,0.14,0.58,3.36,5.41
COC(=O)Nc1ccc(S(=O)(=O)C(C)C)c([C@H]2CCCN2C(=O)[C@H](Nc2ccc3c(N)nccc3c2)c2ccc(OC)c(OC)c2)c1,5.71,4.0,2.37,3.69,12.5,661.78,10.0,12.0,3.0,4.0,47.0,1.0,661.78,661.257,3.0,2.0,162.18,0.19,10.0,661.78,7.56,0.15,-0.71,3.08,5.0
CC(C)CC(=O)Nc1cc(-c2ccc(C(N)=O)cc2C(=O)O)cc([C@@H]2C[C@](C)(c3ccccc3)c3cc(C(=N)N)ccc3N2)c1,6.28,4.0,3.54,3.54,3.49,603.72,5.0,9.0,6.0,8.0,45.0,0.5,603.72,603.2846,3.0,3.0,171.39,0.1,9.0,603.72,16.07,0.29,3.42,5.66,9.7
CNC(=O)c1ccc(-c2cccc([C@@H]3C[C@](C)(c4ccccc4)c4cc(C(=N)N)ccc4N3)c2)c(C(=O)O)c1,5.56,4.0,3.09,3.09,3.5,518.62,4.0,7.0,5.0,6.0,39.0,0.5,518.62,518.2318,3.0,2.0,128.3,0.17,6.0,518.62,13.14,0.24,1.25,5.31,6.81
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4c(N)n[nH]c4c3)c(F)[nH]2)CC1.O=C(O)C(F)(F)F,3.84,4.0,0.56,2.01,8.8,589.59,5.0,8.0,5.0,7.0,35.0,1.0,475.57,475.2496,1.0,0.0,138.5,0.28,7.0,589.59,20.02,0.37,5.68,6.88,9.52
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccc4c(N)n[nH]c4c3)cc(=O)[nH]2)CC1,3.67,4.0,-0.11,2.03,10.88,484.6,5.0,8.0,5.0,7.0,36.0,1.0,484.6,484.2587,1.0,0.0,142.68,0.27,7.0,484.6,17.4,0.32,4.76,5.91,8.43
N=C(N)c1ccc(CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1,2.03,2.0,0.38,0.57,1.74,523.63,6.0,10.0,7.0,8.0,38.0,0.5,523.63,523.2795,2.0,2.0,177.63,0.16,13.0,523.63,11.64,0.22,4.07,3.43,6.1
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc(C(=O)O)cc3)c[nH]2)CC1.O=C(O)C(F)(F)F,3.94,3.0,1.46,1.46,3.87,560.57,4.0,7.0,4.0,5.0,33.0,0.5,446.55,446.2318,0.0,0.0,121.1,0.42,8.0,560.57,13.95,0.26,2.29,5.14,6.23
Nc1nccc2cc(C(=O)N[C@@H](Cc3ccccc3)c3nc(-c4ccc5c(N)n[nH]c5c4)c(Cl)[nH]3)ccc12,5.03,6.0,3.92,3.93,10.14,523.0,6.0,9.0,5.0,7.0,38.0,0.0,523.0,522.1683,3.0,2.0,151.39,0.21,6.0,523.0,14.76,0.28,2.69,5.1,7.72
Nc1n[nH]c2cc(-c3nc([C@H](Cc4ccccc4)NC(=O)NCc4cc(Cl)ccc4C(F)(F)F)[nH]c3Cl)ccc12,6.64,5.0,5.63,5.63,10.14,588.42,4.0,8.0,5.0,6.0,40.0,0.0,588.42,587.1215,3.0,2.0,124.51,0.15,7.0,588.42,11.25,0.23,-0.02,5.32,6.62
COC(=O)Nc1ccc(-c2nc([C@H](Cc3ccccc3)NC(=O)NCc3cc(Cl)ccc3-n3cnnn3)[nH]c2Cl)cc1,5.32,5.0,4.56,4.56,10.23,606.47,8.0,12.0,4.0,4.0,42.0,0.0,606.47,605.1457,3.0,2.0,151.74,0.18,9.0,606.47,13.96,0.28,3.15,5.58,8.47
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2ncc(-c3ccccc3)o2)CC1,4.51,3.0,1.05,3.66,12.7,403.53,4.0,5.0,2.0,3.0,30.0,1.0,403.53,403.226,0.0,0.0,81.15,0.61,7.0,403.53,14.48,0.27,1.33,7.2,5.84
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc(C(N)=O)cc3)c(Cl)[nH]2)CC1.O=C(O)C(F)(F)F,3.99,3.0,0.62,2.6,9.86,594.03,4.0,7.0,4.0,6.0,34.0,1.0,480.01,479.2088,1.0,0.0,126.89,0.39,8.0,594.03,17.5,0.34,4.41,6.62,8.4
CCOC(=O)Cc1cccc(-c2c[nH]c([C@H](Cc3ccccc3)NC(=O)[C@H]3CC[C@H](CN)CC3)n2)c1.O=C(O)C(F)(F)F,4.35,3.0,1.59,4.21,12.61,602.65,5.0,7.0,3.0,4.0,36.0,1.0,488.63,488.2787,0.0,0.0,110.1,0.37,10.0,602.65,12.69,0.24,1.85,5.63,6.2
N#Cc1ccc(-c2c[nH]c([C@H](Cc3ccccc3)NC(=O)[C@H]3CC[C@H](CN)CC3)n2)cc1.O=C(O)C(F)(F)F,4.11,3.0,1.31,3.92,12.51,541.57,4.0,6.0,3.0,4.0,32.0,1.0,427.55,427.2372,0.0,0.0,107.59,0.53,7.0,541.57,15.53,0.28,2.53,6.17,6.64
Nc1nccc2c1CCC(C(=O)N[C@@H](Cc1ccccc1)c1nc(-c3ccc4c(N)n[nH]c4c3)c(Cl)[nH]1)C2,4.37,5.0,3.9,3.96,10.14,527.03,6.0,9.0,5.0,7.0,38.0,0.0,527.03,526.1996,2.0,1.0,151.39,0.22,6.0,527.03,16.29,0.31,4.22,5.67,8.59
Nc1n[nH]c2cc(-c3nc([C@H](Cc4ccccc4)NC(=O)NCc4cc(Cl)ccc4F)[nH]c3Cl)ccc12,5.76,5.0,4.9,4.9,10.14,538.41,4.0,8.0,5.0,6.0,37.0,0.0,538.41,537.1247,3.0,2.0,124.51,0.18,7.0,538.41,13.95,0.28,1.75,6.03,7.51
NCc1ccc(Cl)cc1CNC(=O)N[C@@H](Cc1ccccc1)c1nc(-c2ccc3c(N)n[nH]c3c2)c(Cl)[nH]1,5.08,5.0,2.42,3.62,10.14,549.47,5.0,9.0,6.0,8.0,38.0,1.0,549.47,548.1607,3.0,3.0,150.53,0.16,8.0,549.47,14.99,0.3,3.16,5.47,8.24
COC(=O)Nc1ccc(-c2nc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)[nH]c2Cl)cc1,5.65,5.0,5.31,5.31,10.23,603.47,8.0,11.0,3.0,3.0,42.0,0.0,603.47,602.1348,3.0,2.0,139.71,0.19,9.0,603.47,14.2,0.28,2.92,6.13,8.57
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@@H](c3cccc(Cl)c3)OC1=O)c1nc-2c[nH]1,6.21,3.0,4.53,4.53,12.25,550.02,6.0,10.0,3.0,3.0,39.0,0.0,550.02,549.1779,2.0,2.0,125.65,0.33,3.0,550.02,12.73,0.25,0.79,5.57,7.0
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CC[C@H](c3c(F)ccc(Cl)c3F)OC1=O)c1ncc-2[nH]1,6.57,3.0,4.8,4.81,11.21,588.01,6.0,10.0,3.0,3.0,41.0,0.0,588.01,587.1747,2.0,2.0,125.65,0.3,3.0,588.01,15.57,0.3,2.58,7.29,9.15
COC(=O)Nc1ccc2c(c1)NC(=O)C[C@H](C)/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.68,4.0,3.7,3.7,12.21,602.06,9.0,13.0,4.0,4.0,43.0,0.0,602.06,601.1953,2.0,1.0,168.81,0.19,5.0,602.06,14.45,0.28,4.02,5.15,8.7
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,5.17,4.0,4.19,4.19,9.97,624.49,9.0,13.0,4.0,4.0,43.0,0.0,624.49,623.1563,3.0,2.0,168.81,0.22,5.0,624.49,16.26,0.32,4.98,6.02,10.15
COC(=O)Nc1ccc2c(c1)NC(=O)CC(C)CC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.51,4.0,3.61,3.62,12.23,590.04,9.0,13.0,4.0,4.0,42.0,0.0,590.04,589.1953,2.0,1.0,168.81,0.25,5.0,590.04,12.64,0.24,2.95,4.42,7.46
COC(=O)Nc1ccc2c(c1)N[C@H](C(F)(F)F)CCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.67,4.0,4.76,4.76,12.17,630.03,9.0,12.0,4.0,4.0,44.0,0.0,630.03,629.1877,3.0,2.0,151.74,0.21,5.0,630.03,10.21,0.2,0.76,4.24,6.43
COC(=O)Nc1ccc2c(c1)NC(=O)C(C)CCC[C@H](NC(=O)c1c(F)cc3c(ncn3C)c1F)c1nc-2c(Cl)[nH]1,5.3,4.0,3.84,3.84,9.92,586.0,7.0,11.0,4.0,4.0,41.0,0.0,586.0,585.1703,3.0,2.0,143.03,0.26,3.0,586.0,13.96,0.27,2.88,5.72,8.18
COC(=O)Nc1ccc2c(c1)NC(=O)C/C=C/C[C@H](NC(=O)c1ccc3c(c1)CCC[C@H]3N)c1nc-2c[nH]1,4.35,3.0,0.94,2.94,12.18,514.59,6.0,10.0,5.0,6.0,38.0,1.0,514.59,514.2329,2.0,1.0,151.23,0.33,3.0,514.59,14.92,0.28,3.33,5.08,7.68
COC(=O)N1CCC(CCC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,2.99,2.0,-2.86,1.47,9.34,711.93,8.0,13.0,6.0,7.0,50.0,1.0,711.93,711.3778,3.0,2.0,195.81,0.11,17.0,711.93,8.74,0.17,3.23,3.18,6.22
CCC1CCC(C(=O)NC2Cc3ccc(F)c(n3)CCC(=O)Nc3cc(NC(=O)OC)ccc3-c3nc2[nH]c3Cl)CC1,5.94,3.0,4.52,4.52,9.96,597.09,6.0,10.0,4.0,4.0,42.0,0.0,597.09,596.2314,2.0,2.0,138.1,0.29,4.0,597.09,11.9,0.23,1.17,5.15,7.11
COC(=O)Nc1ccc2c(c1)NCCCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.74,4.0,3.74,3.74,12.48,562.03,9.0,12.0,4.0,4.0,40.0,0.0,562.03,561.2004,2.0,1.0,151.74,0.25,5.0,562.03,14.63,0.28,3.48,5.42,8.22
O=C(/C=C/c1cc(Cl)ccc1-n1cnnn1)N[C@H]1C/C=C/CCC(=O)Nc2ccccc2-c2nnc1o2,3.92,4.0,2.65,2.65,12.29,516.95,9.0,11.0,2.0,2.0,37.0,0.0,516.95,516.1425,2.0,1.0,140.72,0.31,4.0,516.95,14.71,0.28,3.68,5.4,7.6
CCOc1cc([C@@H](Nc2ccc3c(N)nccc3c2)C(=O)N2CCC[C@@H]2c2cc(NC(=O)OC)ccc2S(=O)(=O)C(C)C)c(F)cc1F,6.37,4.0,3.17,4.49,12.47,681.76,9.0,11.0,3.0,4.0,48.0,1.0,681.76,681.2433,3.0,2.0,152.95,0.17,10.0,681.76,7.27,0.14,-1.41,3.24,4.96
O=C(O)c1ccc(NC(=O)C2c3cn(Cc4ccccc4)nc3CCN2C(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,4.04,5.0,1.08,4.15,4.16,609.05,9.0,12.0,2.0,2.0,44.0,-1.0,609.05,608.1687,2.0,1.0,148.13,0.25,8.0,609.05,9.61,0.18,1.81,3.95,5.85
COC(=O)Nc1ccc(NC(=O)[C@@H]2c3ccccc3CCN2C(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1,4.27,4.0,4.16,4.16,12.85,558.0,8.0,11.0,2.0,2.0,40.0,0.0,558.0,557.1578,2.0,1.0,131.34,0.34,6.0,558.0,10.86,0.21,1.79,4.61,6.06
COC(=O)Nc1ccc2c(c1)CCCCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,5.91,4.0,5.56,5.56,10.25,595.49,8.0,11.0,3.0,3.0,41.0,0.0,595.49,594.1661,3.0,2.0,139.71,0.24,5.0,595.49,12.39,0.25,1.47,5.28,7.38
COC(=O)Nc1ccc2c(c1)OCCCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,5.36,4.0,4.43,4.43,9.84,597.46,9.0,12.0,3.0,3.0,41.0,0.0,597.46,596.1454,3.0,2.0,148.94,0.26,5.0,597.46,11.05,0.22,1.24,4.43,6.6
COC(=O)Nc1ccc2c(c1)NCCC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.91,4.0,3.82,3.83,12.46,574.05,9.0,12.0,4.0,4.0,41.0,0.0,574.05,573.2004,2.0,1.0,151.74,0.19,5.0,574.05,10.96,0.21,1.38,4.14,6.29
NC[C@H]1CC[C@H](C(=O)NC(Cc2ccccc2)c2cc(-c3ccccc3)c(F)cn2)CC1,5.05,3.0,2.12,4.73,13.31,431.56,3.0,4.0,2.0,3.0,32.0,1.0,431.56,431.2373,1.0,1.0,68.01,0.55,7.0,431.56,15.05,0.28,1.44,9.55,6.5
NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccccc3)c[nH]2)CC1,4.24,3.0,1.45,4.07,12.7,402.54,3.0,5.0,3.0,4.0,30.0,1.0,402.54,402.242,0.0,0.0,83.8,0.55,7.0,402.54,17.19,0.32,2.68,8.26,6.92
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](n1ccc(-c3c(F)ccc(Cl)c3F)cc1=O)c1cc-2ccn1,7.04,4.0,5.85,5.85,12.73,593.03,6.0,8.0,2.0,2.0,42.0,0.0,593.03,592.1689,2.0,2.0,102.32,0.25,3.0,593.03,16.79,0.32,2.92,9.73,9.96
COC(=O)Nc1ccc2c(c1)CCC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.04,4.0,4.87,4.88,12.51,559.03,8.0,11.0,3.0,3.0,40.0,0.0,559.03,558.1895,3.0,2.0,139.71,0.23,5.0,559.03,11.08,0.21,1.16,4.44,6.2
COC(=O)Nc1ccc2c(c1)CCCCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.26,4.0,5.24,5.24,12.53,561.05,8.0,11.0,3.0,3.0,40.0,0.0,561.05,560.2051,3.0,2.0,139.71,0.28,5.0,561.05,12.58,0.24,1.8,5.05,7.06
COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.66,4.0,3.77,3.77,12.23,590.04,9.0,13.0,4.0,4.0,42.0,0.0,590.04,589.1953,2.0,1.0,168.81,0.24,5.0,590.04,14.4,0.28,3.83,5.03,8.49
COC(=O)Nc1ccc2c(c1)NC(=O)CCc1cc(ccc1F)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,5.02,5.0,4.67,4.67,12.18,656.08,9.0,13.0,4.0,4.0,47.0,0.0,656.08,655.1859,3.0,2.0,168.81,0.19,5.0,656.08,14.14,0.27,4.26,5.49,9.28
COC(=O)Nc1ccc2c(c1)CNC(=O)c1cccc(c1)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,4.24,5.0,3.81,3.81,12.39,624.06,9.0,13.0,4.0,4.0,45.0,0.0,624.06,623.1796,2.0,1.0,168.81,0.21,5.0,624.06,10.1,0.19,2.06,3.73,6.3
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(Cl)ccc(Cl)c3F)NC1=O)c1nc-2c[nH]1,6.66,3.0,5.01,5.01,12.14,603.48,5.0,10.0,4.0,4.0,41.0,0.0,603.48,602.1611,2.0,2.0,128.45,0.25,3.0,603.48,13.53,0.27,1.51,6.36,8.17
COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3cc(Cl)ccc3OC(F)F)OC1=O)c1nc-2c[nH]1,6.81,3.0,5.3,5.3,12.25,616.02,7.0,11.0,3.0,3.0,43.0,0.0,616.02,615.1696,3.0,2.0,134.88,0.27,5.0,616.02,13.19,0.26,1.32,6.03,8.13
